"detector_id","detector_type","detector_status","detector_direction","detector_movement","location_name","atd_location_id","signal_id","created_date","modified_date","ip_comm_status","comm_status_datetime_utc","location_latitude","location_longitude","LOCATION"
"892","LOOP","REMOVED","SOUTHBOUND","THRU / RIGHT TURN"," 38TH ST / SHOAL CREEK BLVD","LOC16-000560","113",,"2021 Nov 22 05:32:00 PM",,,,,"POINT (-97.747505 30.307089)"
"4,648","LOOP","REMOVED","NORTHBOUND","THRU / RIGHT TURN"," WELLS BRANCH PKWY / SUMMIT DR","LOC16-002890","589","2017 Jun 16 12:00:00 AM","2020 Jun 28 03:23:00 PM",,,,,"POINT (-97.692085 30.441485)"
"1,099","LOOP","REMOVED","EASTBOUND","THRU / RIGHT TURN"," 15TH ST / RED RIVER ST","LOC16-001105","225",,"2021 May 11 03:43:00 PM",,,,,"POINT (-97.734848 30.275618)"
"1,713","LOOP","OK","EASTBOUND","THRU / RIGHT TURN"," ROSS RD / SAINT THOMAS DR","LOC16-004705","963","2017 Jun 28 12:00:00 AM","2024 Jul 02 02:31:00 PM",,,,,"POINT (-97.615196 30.178305)"
"5,546","LOOP","OK","NORTHBOUND","THRU / RIGHT TURN"," AIRPORT BLVD / LAMAR BLVD","LOC16-000040","9","2017 Jun 14 12:00:00 AM","2024 Jun 25 09:52:00 PM",,,,,"POINT (-97.718872 30.337629)"
"2,795","LOOP","REMOVED","SOUTHBOUND","LEFT TURN"," MOPAC EXPY / LA CROSSE AVE","LOC16-003845","782","2017 Jun 23 12:00:00 AM","2023 Jun 19 07:06:00 PM",,,,,"POINT (-97.87455 30.191059)"
"5,797","VIDEO","OK","WESTBOUND","LEFT TURN, THRU / RIGHT TURN"," CONGRESS AVE / EBERHART LN","LOC16-002010","410","2017 Sep 11 12:00:00 AM","2024 Jun 28 05:31:00 PM",,,,,"POINT (-97.777123 30.197027)"
"6,367","VIDEO","OK","SOUTHBOUND","LEFT TURN"," LAMAR BLVD / YAGER LN","LOC16-002620","535","2018 May 09 12:00:00 AM","2025 Sep 08 10:42:00 PM",,,,,"POINT (-97.679169 30.401785)"
"7,227","VIDEO","REMOVED","SOUTHBOUND","THRU / RIGHT TURN"," MC NEIL DR / PARMER LN","LOC16-003340","677","2020 Jul 13 12:00:00 AM","2024 Jul 31 03:15:00 PM",,,,,"POINT (-97.742394 30.44385)"
"6,049","VIDEO","OK","NORTHBOUND","LEFT TURN, THRU / RIGHT TURN","SH 45 W  / ESCARPMENT BLVD","LOC16-004970","1016","2017 Sep 11 12:00:00 AM","2025 Aug 14 12:26:00 PM",,,,,"POINT (-97.89962 30.182062)"
"6,922","VIDEO","OK","SOUTHBOUND","LEFT TURN, THRU / RIGHT TURN"," OLTORF ST / MONTOPOLIS DR","LOC16-002710","553","2019 Jul 08 12:00:00 AM","2024 Apr 24 07:36:00 PM",,,,,"POINT (-97.710297 30.215042)"
